"state","county","county.fips","county.name","C","F1549","iTFR","W15","W20","W25","W30","W35","W40","W45"
"13","001","13001","Appling",1306,3916,2.33452502553626,563,453,522,543,619,566,650
"13","003","13003","Atkinson",708,1939,2.55595667870036,314,244,279,283,270,273,276
"13","005","13005","Bacon",825,2429,2.37752161383285,327,307,348,389,376,349,333
"13","007","13007","Baker",220,741,2.07827260458839,107,96,108,91,90,110,139
"13","009","13009","Baldwin",2775,11943,1.62647575985933,2185,3061,1438,1192,1228,1327,1512
"13","011","13011","Banks",1132,4225,1.87550295857988,631,497,486,567,677,634,733
"13","013","13013","Barrow",5832,17509,2.33160089097036,2331,1996,2757,2688,2716,2556,2465
"13","015","13015","Bartow",6980,24403,2.00221284268328,3512,3017,3183,3271,3731,3838,3851
"13","017","13017","Ben Hill",1398,3965,2.46809583858764,583,551,602,553,538,536,602
"13","019","13019","Berrien",1325,4396,2.10987261146497,648,604,566,593,631,673,681
"13","021","13021","Bibb",11465,38347,2.09286254465799,5865,6231,5629,5085,5057,4919,5561
"13","023","13023","Bleckley",754,3354,1.57364341085271,856,542,356,341,372,415,472
"13","025","13025","Brantley",1326,4236,2.19121813031161,649,531,511,555,625,701,664
"13","027","13027","Brooks",1095,3532,2.17015855039638,526,491,467,415,502,535,596
"13","029","13029","Bryan",2203,7592,2.03121707060063,1091,828,941,1043,1195,1197,1297
"13","031","13031","Bulloch",4197,20500,1.43312195121951,4202,6364,2300,1951,1896,1780,2007
"13","033","13033","Burke",1774,5514,2.25208560029017,851,781,757,705,743,738,939
"13","035","13035","Butts",1425,4963,2.0098730606488,695,623,705,625,719,746,850
"13","037","13037","Calhoun",368,1161,2.21877691645133,179,160,166,143,154,159,200
"13","039","13039","Camden",3983,12605,2.2119000396668,1870,1996,1950,1537,1672,1702,1878
"13","043","13043","Candler",788,2423,2.27651671481634,351,354,316,326,357,334,385
"13","045","13045","Carroll",7803,28593,1.91029272898961,4831,5162,3730,3633,3745,3669,3823
"13","047","13047","Catoosa",4084,15191,1.88190375880456,2144,1771,1906,2138,2371,2410,2451
"13","049","13049","Charlton",728,2446,2.08340147179068,378,288,307,293,375,381,424
"13","051","13051","Chatham",18526,68302,1.8986559690785,9686,13008,11365,9301,8177,7854,8911
"13","053","13053","Chattahoochee",1071,2254,3.32608695652174,252,364,476,376,333,249,204
"13","055","13055","Chattooga",1578,5302,2.08336476801207,744,662,716,697,760,823,900
"13","057","13057","Cherokee",15801,53344,2.07346655668866,6989,5505,6383,7635,9014,8936,8882
"13","059","13059","Clarke",6960,39085,1.24651400793143,6800,14280,5564,4046,3087,2686,2622
"13","061","13061","Clay",205,624,2.29967948717949,89,87,87,87,72,91,111
"13","063","13063","Clayton",21939,72191,2.12731503927082,9840,10067,10501,10397,10797,10354,10235
"13","065","13065","Clinch",526,1550,2.37548387096774,243,222,214,193,237,199,242
"13","067","13067","Cobb",48318,182501,1.85328299570961,23340,22119,25283,26412,28304,28090,28953
"13","069","13069","Coffee",3113,9837,2.21520788858392,1595,1373,1319,1309,1406,1375,1460
"13","071","13071","Colquitt",3788,10371,2.55674476906759,1567,1365,1508,1442,1444,1509,1536
"13","073","13073","Columbia",8305,30564,1.90207433581992,4561,3335,3775,4098,4661,4790,5344
"13","075","13075","Cook",1305,3962,2.30565371024735,582,545,541,556,558,601,579
"13","077","13077","Coweta",9283,31428,2.06761486572483,4285,3306,4061,4310,5130,5164,5172
"13","079","13079","Crawford",728,2820,1.80709219858156,403,335,321,331,419,478,533
"13","081","13081","Crisp",1696,5357,2.21616576442038,832,730,721,713,751,770,840
"13","083","13083","Dade",912,3979,1.60442322191505,711,684,459,479,489,531,626
"13","085","13085","Dawson",1275,5007,1.78250449370881,633,713,626,616,735,765,919
"13","087","13087","Decatur",1867,6303,2.07345708392829,976,815,852,798,919,929,1014
"13","089","13089","DeKalb",50407,190323,1.85394828791055,21906,26144,31514,29579,28245,26511,26424
"13","091","13091","Dodge",1355,4611,2.05703751897636,719,619,600,567,674,728,704
"13","093","13093","Dooly",857,2891,2.07506053268765,460,313,399,418,385,433,483
"13","095","13095","Dougherty",7150,24343,2.05603253502033,3980,4525,3609,3192,2909,2883,3245
"13","097","13097","Douglas",9732,35312,1.92920253738106,5088,3667,4359,5022,6080,5673,5423
"13","099","13099","Early",717,2453,2.04606604158174,425,282,293,354,331,368,400
"13","101","13101","Echols",358,991,2.52875882946519,152,150,153,141,146,123,126
"13","103","13103","Effingham",3668,13075,1.96374760994264,2075,1378,1628,1795,1984,2036,2179
"13","105","13105","Elbert",1311,4454,2.06039515042658,671,587,539,590,609,702,756
"13","107","13107","Emanuel",1656,5085,2.27964601769912,794,711,759,674,666,691,790
"13","109","13109","Evans",847,2549,2.32601020007846,350,361,396,352,355,349,386
"13","111","13111","Fannin",1131,4379,1.80794701986755,580,530,509,514,621,696,929
"13","113","13113","Fayette",4913,23946,1.43618976029399,4371,2156,1926,2161,3384,4608,5340
"13","115","13115","Floyd",6521,22660,2.01443071491615,3807,3277,3045,2788,3087,3185,3471
"13","117","13117","Forsyth",13593,42916,2.2171451207009,5261,3095,4202,6009,7978,8665,7706
"13","119","13119","Franklin",1291,4786,1.88821562891768,734,712,614,581,673,705,767
"13","121","13121","Fulton",62581,250650,1.74772391781368,31187,35182,41245,37815,36894,34314,34013
"13","123","13123","Gilmer",1670,5621,2.07970112079701,811,621,732,781,834,846,996
"13","125","13125","Glascock",199,689,2.02177068214804,103,78,95,99,101,100,113
"13","127","13127","Glynn",5352,18279,2.04956507467586,2666,2437,2546,2425,2548,2612,3045
"13","129","13129","Gordon",4110,13268,2.16837503768465,2089,1628,1731,1788,1981,1985,2066
"13","131","13131","Grady",1890,5624,2.35241820768137,823,712,834,744,793,791,927
"13","133","13133","Greene",898,3000,2.09533333333333,411,364,472,427,400,419,507
"13","135","13135","Gwinnett",62242,212494,2.05038259903809,28663,22898,27222,30914,34827,34168,33802
"13","137","13137","Habersham",2885,10424,1.93735610130468,1323,1434,1463,1541,1561,1492,1610
"13","139","13139","Hall",14123,42747,2.31270030645425,6126,5755,5923,6004,6410,6286,6243
"13","141","13141","Hancock",433,1719,1.76323443862711,309,229,185,213,181,262,340
"13","143","13143","Haralson",1848,6546,1.97616865261228,936,858,873,802,1006,1034,1037
"13","145","13145","Harris",1762,7058,1.74752054406347,1096,695,658,843,1090,1262,1414
"13","147","13147","Hart",1542,5180,2.08378378378378,741,641,638,630,757,843,930
"13","149","13149","Heard",746,2715,1.92338858195212,443,324,314,334,407,407,486
"13","151","13151","Henry",13835,54593,1.77394537761251,8270,5543,5972,7456,9267,9119,8966
"13","153","13153","Houston",10211,35799,1.99662001731892,4979,4761,5428,4848,5026,4971,5786
"13","155","13155","Irwin",602,2035,2.07076167076167,299,237,269,266,306,310,348
"13","157","13157","Jackson",4313,14213,2.12418208682192,2010,1517,1867,2058,2204,2332,2225
"13","159","13159","Jasper",946,3098,2.1375080697224,453,399,436,358,471,464,517
"13","161","13161","Jeff Davis",1183,3420,2.42134502923977,514,460,474,507,470,477,518
"13","163","13163","Jefferson",1171,3738,2.19288389513109,556,522,489,501,486,580,604
"13","165","13165","Jenkins",613,1830,2.3448087431694,308,232,238,255,257,258,282
"13","167","13167","Johnson",550,1804,2.13414634146341,248,245,237,256,241,277,300
"13","169","13169","Jones",1890,6673,1.9826165143114,1001,743,767,901,1062,1041,1158
"13","171","13171","Lamar",1087,4569,1.66535346903042,1026,721,547,494,546,572,663
"13","173","13173","Lanier",896,2393,2.62097785206853,311,373,400,333,328,335,313
"13","175","13175","Laurens",3462,11305,2.14365325077399,1740,1416,1545,1566,1579,1718,1741
"13","177","13177","Lee",1865,7024,1.85862756264237,1079,692,876,945,1133,1115,1184
"13","179","13179","Liberty",6552,17477,2.6242490129885,2381,3156,3098,2370,2127,2066,2279
"13","181","13181","Lincoln",420,1681,1.74895895300416,260,215,180,179,244,271,332
"13","183","13183","Long",1355,3713,2.55453810934554,550,590,586,527,504,464,492
"13","185","13185","Lowndes",8264,29756,1.94407850517543,5188,6726,4279,3354,3388,3259,3562
"13","187","13187","Lumpkin",1765,7474,1.65306395504415,1339,1609,865,870,884,889,1018
"13","189","13189","McDuffie",1559,5102,2.13896511172089,776,725,669,635,689,750,858
"13","191","13191","McIntosh",785,3049,1.80223023942276,493,399,329,342,433,504,549
"13","193","13193","Macon",857,2904,2.06577134986226,511,378,395,344,377,408,491
"13","195","13195","Madison",1727,6486,1.86386062288005,993,768,780,880,934,989,1142
"13","197","13197","Marion",569,1968,2.02388211382114,323,239,259,190,271,297,389
"13","199","13199","Meriwether",1429,4830,2.07101449275362,717,635,679,630,599,721,849
"13","201","13201","Miller",423,1315,2.25171102661597,191,150,207,158,168,205,236
"13","205","13205","Mitchell",1732,4875,2.48697435897436,728,646,671,640,727,665,798
"13","207","13207","Monroe",1461,5758,1.77613754775964,833,718,661,720,826,914,1086
"13","209","13209","Montgomery",552,2049,1.88579795021962,345,342,253,236,276,284,313
"13","211","13211","Morgan",1026,3900,1.84153846153846,622,392,449,509,608,645,675
"13","213","13213","Murray",2822,9721,2.03209546342969,1427,1229,1236,1247,1552,1498,1532
"13","215","13215","Muscogee",14135,47835,2.06846451343159,7090,7524,7582,6624,6245,5980,6790
"13","217","13217","Newton",7563,25911,2.04318629153641,4002,2836,3126,3642,4323,4111,3871
"13","219","13219","Oconee",1924,7649,1.76075303961302,1248,676,706,900,1242,1390,1487
"13","221","13221","Oglethorpe",877,3428,1.79084014002334,514,367,449,430,503,556,609
"13","223","13223","Paulding",11186,37931,2.06432733120666,5240,3729,4703,5578,6606,6439,5636
"13","225","13225","Peach",1831,7271,1.76275615458671,1614,1446,847,751,758,863,992
"13","227","13227","Pickens",1742,6271,1.94450645830011,861,769,774,835,919,1038,1075
"13","229","13229","Pierce",1309,4268,2.14690721649485,621,484,543,597,662,673,688
"13","231","13231","Pike",1011,4215,1.67900355871886,682,432,458,525,720,692,706
"13","233","13233","Polk",3307,9284,2.49342955622576,1282,1321,1278,1303,1328,1342,1430
"13","235","13235","Pulaski",707,3299,1.50015156107911,337,414,481,491,499,504,573
"13","237","13237","Putnam",1346,4373,2.15458495312143,541,599,648,578,572,665,770
"13","239","13239","Quitman",133,472,1.97245762711864,66,68,55,58,59,89,77
"13","241","13241","Rabun",817,3110,1.83890675241158,521,359,350,385,509,458,528
"13","243","13243","Randolph",499,1704,2.04988262910798,273,254,242,202,214,231,288
"13","245","13245","Richmond",14851,50467,2.05990052905859,7428,8662,8623,6673,5989,5994,7098
"13","247","13247","Rockdale",5763,21573,1.86997635933806,3389,2488,2462,2796,3263,3409,3766
"13","249","13249","Schley",318,1165,1.91072961373391,207,129,124,143,185,202,175
"13","251","13251","Screven",993,3223,2.15668631709587,553,430,398,426,406,478,532
"13","253","13253","Seminole",501,1831,1.91534680502458,276,213,220,247,252,283,340
"13","255","13255","Spalding",4625,15001,2.1581894540364,2171,2016,2141,2070,2158,2152,2293
"13","257","13257","Stephens",1620,5881,1.92824349600408,960,911,771,691,800,821,927
"13","259","13259","Stewart",273,996,1.91867469879518,145,143,140,116,134,149,169
"13","261","13261","Sumter",2367,8226,2.01422319474836,1426,1507,1125,1004,1001,1042,1121
"13","263","13263","Talbot",362,1455,1.74158075601375,238,173,147,165,186,227,319
"13","265","13265","Taliaferro",96,335,2.00597014925373,52,49,38,29,43,57,67
"13","267","13267","Tattnall",1496,4762,2.19907601847963,675,620,620,667,677,684,819
"13","269","13269","Taylor",543,1983,1.91679273827534,346,235,221,238,305,294,344
"13","271","13271","Telfair",946,2903,2.28108852910782,421,403,399,389,390,423,478
"13","273","13273","Terrell",669,2051,2.28327645051195,321,303,261,266,226,289,385
"13","275","13275","Thomas",3035,10281,2.06643322633985,1567,1337,1317,1319,1427,1563,1751
"13","277","13277","Tift",2960,9777,2.11925948655007,1670,1566,1291,1341,1300,1237,1372
"13","279","13279","Toombs",2219,6298,2.46633852016513,969,847,870,877,893,876,966
"13","281","13281","Towns",383,1891,1.41776837652036,438,264,172,200,259,261,297
"13","283","13283","Treutlen",496,1453,2.38953888506538,205,170,247,218,205,191,217
