"county","county.fips","TFR","q5"
"Appling",13001,2.568,0.010570732928609
"Atkinson",13003,2.4915,0.00873264699281939
"Bacon",13005,2.2945,0.00735084937147945
"Baker",13007,1.691,0.00873264699281939
"Baldwin",13009,1.503,0.00852644193881169
"Banks",13011,1.8895,0.00870290852615441
"Barrow",13013,2.2585,0.00585379935761965
"Bartow",13015,2.121,0.00792542687345477
"Ben Hill",13017,2.4085,0.0117504182220322
"Berrien",13019,2.0645,0.00944907426937502
"Bibb",13021,2.075,0.0142593584448737
"Bleckley",13023,1.563,0.0082567244511037
"Brantley",13025,1.8875,0.00837572650390361
"Brooks",13027,2.3435,0.0152298349386673
"Bryan",13029,2.327,0.00897944183648502
"Bulloch",13031,1.4975,0.00936388322659987
"Burke",13033,2.2415,0.0148831348249254
"Butts",13035,2.2415,0.0131862889829276
"Calhoun",13037,2.3305,0.00873264699281939
"Camden",13039,2.2455,0.00775179863112951
"Candler",13043,2.384,0.00916078200549741
"Carroll",13045,1.857,0.00708875540083165
"Catoosa",13047,1.926,0.00577227602675612
"Charlton",13049,2.1095,0.0130500992939349
"Chatham",13051,1.876,0.00978580433676812
"Chattahoochee",13053,2.787,0.0108645497869659
"Chattooga",13055,2.1475,0.00942133845515503
"Cherokee",13057,2.1535,0.00612516422740494
"Clarke",13059,1.3695,0.00622156541094188
"Clay",13061,2.1145,0.0151884737231552
"Clayton",13063,2.198,0.00943916871059003
"Clinch",13065,2.3495,0.0105845848413844
"Cobb",13067,1.954,0.0074987430765685
"Coffee",13069,2.264,0.0123580048627832
"Colquitt",13071,2.5885,0.0092341013947782
"Columbia",13073,1.9425,0.00761088938221521
"Cook",13075,2.299,0.0138906224956077
"Coweta",13077,2.0975,0.00586374076991891
"Crawford",13079,2.006,0.00876535827572955
"Crisp",13081,2.178,0.013078720426047
"Dade",13083,1.5445,0.008465960207096
"Dawson",13085,1.842,0.00915087356377531
"Decatur",13087,2.2755,0.0113075832217621
"DeKalb",13089,2.004,0.00898736996923777
"Dodge",13091,2.1425,0.0118057586490653
"Dooly",13093,1.818,0.00664681157177605
"Dougherty",13095,1.967,0.0145067482971787
"Douglas",13097,2.0055,0.00796907719435824
"Early",13099,2.3985,0.0203882898855291
"Echols",13101,2.495,0.0117168171650369
"Effingham",13103,2.133,0.0104678269338145
"Elbert",13105,2.139,0.00732106945026401
"Emanuel",13107,2.453,0.0124775023144531
"Evans",13109,2.477,0.009334163697306
"Fannin",13111,1.9725,0.010713200485157
"Fayette",13113,1.7385,0.00626131575331323
"Floyd",13115,2.026,0.0124972525669037
"Forsyth",13117,2.2595,0.00469096290358528
"Franklin",13119,2.063,0.00821903749058506
"Fulton",13121,1.7625,0.00846695174063994
"Gilmer",13123,2.3765,0.00668853152956483
"Glascock",13125,1.758,0.00873264699281939
"Glynn",13127,2.114,0.0103015715636794
"Gordon",13129,2.1495,0.00605459660894425
"Grady",13131,2.48,0.00796709313052857
"Greene",13133,2.125,0.00837572650390361
"Gwinnett",13135,2.18,0.00672429009877162
"Habersham",13137,1.8885,0.00571759199814059
"Hall",13139,2.293,0.00683553074868792
"Hancock",13141,1.97,0.0167216154535621
"Haralson",13143,2.0695,0.00776569000870875
"Harris",13145,1.933,0.0086969607257622
"Hart",13147,2.084,0.00805240429208676
"Heard",13149,1.9075,0.00576133946164137
"Henry",13151,1.8805,0.00777660452608875
"Houston",13153,2.0465,0.010011547437688
"Irwin",13155,2.2225,0.0129741012256924
"Jackson",13157,2.216,0.00841539068155461
"Jasper",13159,2.282,0.0120083177055296
"Jeff Davis",13161,2.3685,0.0100976726865583
"Jefferson",13163,2.3135,0.0130066725429223
"Jenkins",13165,2.289,0.0118561552702494
"Johnson",13167,1.9045,0.00662595093578311
"Jones",13169,1.9995,0.0125081150373817
"Lamar",13171,1.643,0.00861170499844088
"Lanier",13173,1.944,0.00859385984852501
"Laurens",13175,2.2425,0.00955505754822161
"Lee",13177,2.1045,0.0119599049269937
"Liberty",13179,2.539,0.00814365927309835
"Lincoln",13181,1.831,0.00841836543092045
"Long",13183,1.737,0.00950652455699297
"Lowndes",13185,1.8815,0.0121436632946194
"Lumpkin",13187,1.5575,0.00580110821268265
"McDuffie",13189,2.2815,0.0108942234053658
"McIntosh",13191,1.754,0.00764562239325561
"Macon",13193,1.964,0.00914889186354073
"Madison",13195,2.0285,0.00763669116366661
"Marion",13197,2.045,0.00807621074870513
"Meriwether",13199,2.1625,0.00957288539673473
"Miller",13201,2.3075,0.00873264699281939
"Mitchell",13205,2.3495,0.00978085325341216
"Monroe",13207,1.934,0.00803058120492806
"Montgomery",13209,1.8805,0.0130027245617166
