"","county","county.fips","year","B15","B20","B25","B30","B35","B40","B45","W15","W20","W25","W30","W35","W40","W45","F15","F20","F25","F30","F35","F40","F45","TFR"
"1","Bibb",13021,2010,319,785,697,468,174,38,NA,5865,6231,5629,5085,5057,4919,NA,54.39,125.98,123.82,92.04,34.41,7.73,0,2.19185
"2","Chatham",13051,2010,403,1091,1130,806,293,79,NA,9686,13008,11365,9301,8177,7854,NA,41.61,83.87,99.43,86.66,35.83,10.06,0,1.7873
"3","Cherokee",13057,2010,171,528,889,838,405,91,NA,6989,5505,6383,7635,9014,8936,NA,24.47,95.91,139.28,109.76,44.93,10.18,0,2.12265
"4","Clarke",13059,2010,152,387,417,390,152,29,NA,6800,14280,5564,4046,3087,2686,NA,22.35,27.1,74.95,96.39,49.24,10.8,0,1.40415
"5","Clayton",13063,2010,517,1194,1095,775,384,91,NA,9840,10067,10501,10397,10797,10354,NA,52.54,118.61,104.28,74.54,35.57,8.79,0,1.97165
"6","Cobb",13067,2010,574,1639,2492,2782,1565,362,20,23340,22119,25283,26412,28304,28090,NA,24.59,74.1,98.56,105.33,55.29,12.89,0,1.8538
"7","DeKalb",13089,2010,879,2310,2760,2877,1594,402,19,21906,26144,31514,29579,28245,26511,NA,40.13,88.36,87.58,97.26,56.43,15.16,0,1.9246
"8","Fulton",13121,2010,1252,2804,3367,3817,2183,501,43,31187,35182,41245,37815,36894,34314,NA,40.14,79.7,81.63,100.94,59.17,14.6,0,1.8809
"9","Gwinnett",13135,2010,752,2089,3151,3220,1697,411,16,28663,22898,27222,30914,34827,34168,NA,26.24,91.23,115.75,104.16,48.73,12.03,0,1.9907
"10","Hall",13139,2010,324,649,755,569,249,66,NA,6126,5755,5923,6004,6410,6286,NA,52.89,112.77,127.47,94.77,38.85,10.5,0,2.18625
"11","Henry",13151,2010,248,638,736,645,342,66,NA,8270,5543,5972,7456,9267,9119,NA,29.99,115.1,123.24,86.51,36.91,7.24,0,1.99495
"12","Houston",13153,2010,190,586,617,400,185,28,NA,4979,4761,5428,4848,5026,4971,NA,38.16,123.08,113.67,82.51,36.81,5.63,0,1.9993
"13","Muscogee",13215,2010,436,1028,958,614,217,40,NA,7090,7524,7582,6624,6245,5980,NA,61.5,136.63,126.35,92.69,34.75,6.69,0,2.29305
"14","Richmond",13245,2010,381,1054,849,495,183,38,NA,7428,8662,8623,6673,5989,5994,NA,51.29,121.68,98.46,74.18,30.56,6.34,0,1.91255
