Austria, Life tables (period 5x5), Total     Last modified: 02-Sep-2015, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1947-1949        0      0.08514  0.08025  0.28  100000    8025   94253  6263794  62.64
1947-1949      1-4      0.00383  0.01517  1.52   91975    1396  364437  6169541  67.08
1947-1949      5-9      0.00123  0.00611  2.17   90580     553  451333  5805104  64.09
1947-1949     10-14     0.00097  0.00482  2.52   90026     434  449056  5353771  59.47
1947-1949     15-19     0.00172  0.00857  2.77   89593     768  446247  4904715  54.74
1947-1949     20-24     0.00248  0.01231  2.54   88824    1094  441432  4458468  50.19
1947-1949     25-29     0.00253  0.01256  2.46   87731    1102  435854  4017036  45.79
1947-1949     30-34     0.00292  0.01452  2.54   86629    1257  430048  3581182  41.34
1947-1949     35-39     0.00348  0.01727  2.59   85371    1474  423302  3151134  36.91
1947-1949     40-44     0.00449  0.02223  2.61   83897    1865  415037  2727832  32.51
1947-1949     45-49     0.00669  0.03294  2.67   82032    2702  403863  2312795  28.19
1947-1949     50-54     0.00950  0.04647  2.62   79330    3687  387872  1908932  24.06
1947-1949     55-59     0.01415  0.06845  2.62   75644    5178  365905  1521061  20.11
1947-1949     60-64     0.02189  0.10407  2.64   70466    7333  335055  1155155  16.39
1947-1949     65-69     0.03451  0.15947  2.62   63133   10068  291706   820100  12.99
1947-1949     70-74     0.05641  0.24821  2.58   53065   13171  233468   528394   9.96
1947-1949     75-79     0.09263  0.37661  2.52   39894   15024  162190   294926   7.39
1947-1949     80-84     0.15209  0.54317  2.37   24869   13508   88819   132736   5.34
1947-1949     85-89     0.23163  0.70220  2.20   11361    7978   34442    43917   3.87
1947-1949     90-94     0.34096  0.83440  1.94    3383    2823    8280     9475   2.80
1947-1949     95-99     0.46011  0.91528  1.71     560     513    1115     1195   2.13
1947-1949    100-104    0.58858  0.95862  1.48      47      46      77       80   1.69
1947-1949    105-109    0.70711  0.97865  1.31       2       2       3        3   1.41
1947-1949    110+       0.79281  1.00000  1.26       0       0       0        0   1.26
1950-1954        0      0.05761  0.05509  0.21  100000    5509   95638  6625499  66.25
1950-1954      1-4      0.00228  0.00907  1.49   94491     857  375808  6529862  69.11
1950-1954      5-9      0.00074  0.00371  2.25   93634     347  467213  6154054  65.72
1950-1954     10-14     0.00059  0.00294  2.56   93286     274  465764  5686841  60.96
1950-1954     15-19     0.00113  0.00564  2.82   93013     525  463920  5221077  56.13
1950-1954     20-24     0.00162  0.00809  2.50   92488     748  460570  4757157  51.44
1950-1954     25-29     0.00163  0.00814  2.50   91740     747  456828  4296587  46.83
1950-1954     30-34     0.00186  0.00927  2.52   90993     844  452876  3839759  42.20
1950-1954     35-39     0.00252  0.01252  2.61   90150    1129  448047  3386882  37.57
1950-1954     40-44     0.00355  0.01759  2.66   89021    1566  441444  2938835  33.01
1950-1954     45-49     0.00561  0.02768  2.69   87455    2420  431693  2497391  28.56
1950-1954     50-54     0.00905  0.04431  2.65   85035    3768  416329  2065698  24.29
1950-1954     55-59     0.01342  0.06504  2.64   81266    5286  393845  1649369  20.30
1950-1954     60-64     0.02089  0.09956  2.64   75980    7564  362061  1255524  16.52
1950-1954     65-69     0.03390  0.15693  2.64   68416   10737  316714   893463  13.06
1950-1954     70-74     0.05552  0.24484  2.59   57679   14122  254359   576749  10.00
1950-1954     75-79     0.09220  0.37534  2.52   43557   16349  177315   322390   7.40
1950-1954     80-84     0.15119  0.54198  2.39   27208   14746   97532   145074   5.33
1950-1954     85-89     0.23478  0.70684  2.19   12462    8809   37519    47542   3.81
1950-1954     90-94     0.34827  0.84320  1.94    3653    3080    8845    10023   2.74
1950-1954     95-99     0.47795  0.92388  1.68     573     529    1107     1178   2.06
1950-1954    100-104    0.61279  0.96417  1.45      44      42      69       71   1.62
1950-1954    105-109    0.73364  0.98174  1.27       2       2       2        2   1.36
1950-1954    110+       0.81825  1.00000  1.22       0       0       0        0   1.22
1955-1959        0      0.04478  0.04318  0.17  100000    4318   96427  6791270  67.91
1955-1959      1-4      0.00167  0.00667  1.55   95682     638  381166  6694844  69.97
1955-1959      5-9      0.00064  0.00318  2.27   95044     302  474397  6313678  66.43
1955-1959     10-14     0.00050  0.00250  2.64   94742     237  473152  5839281  61.63
1955-1959     15-19     0.00109  0.00542  2.85   94505     513  471421  5366129  56.78
1955-1959     20-24     0.00168  0.00838  2.51   93992     788  468002  4894708  52.08
1955-1959     25-29     0.00168  0.00836  2.49   93205     779  464063  4426706  47.49
1955-1959     30-34     0.00177  0.00880  2.59   92425     814  460163  3962643  42.87
1955-1959     35-39     0.00220  0.01093  2.62   91611    1002  455674  3502480  38.23
1955-1959     40-44     0.00310  0.01541  2.63   90610    1396  449741  3046806  33.63
1955-1959     45-49     0.00494  0.02442  2.67   89213    2178  441001  2597065  29.11
1955-1959     50-54     0.00805  0.03950  2.69   87035    3438  427230  2156064  24.77
1955-1959     55-59     0.01301  0.06313  2.64   83597    5277  405538  1728834  20.68
1955-1959     60-64     0.02022  0.09648  2.63   78320    7556  373683  1323296  16.90
1955-1959     65-69     0.03203  0.14887  2.64   70764   10535  328934   949613  13.42
1955-1959     70-74     0.05268  0.23382  2.60   60229   14083  267339   620680  10.31
1955-1959     75-79     0.08760  0.35997  2.53   46146   16611  189623   353341   7.66
1955-1959     80-84     0.14281  0.52120  2.41   29535   15394  107792   163718   5.54
1955-1959     85-89     0.22575  0.69214  2.21   14141    9788   43357    55926   3.95
1955-1959     90-94     0.32763  0.82243  1.97    4353    3580   10928    12569   2.89
1955-1959     95-99     0.46212  0.91694  1.71     773     709    1534     1640   2.12
1955-1959    100-104    0.59851  0.96126  1.47      64      62     103      107   1.66
1955-1959    105-109    0.72276  0.98063  1.28       2       2       3        3   1.38
1955-1959    110+       0.81062  1.00000  1.23       0       0       0        0   1.23
1960-1964        0      0.03371  0.03276  0.14  100000    3276   97189  6954733  69.55
1960-1964      1-4      0.00131  0.00522  1.54   96724     505  385655  6857544  70.90
1960-1964      5-9      0.00050  0.00249  2.28   96219     239  480445  6471889  67.26
1960-1964     10-14     0.00041  0.00204  2.64   95980     195  479438  5991444  62.42
1960-1964     15-19     0.00091  0.00455  2.80   95784     436  477962  5512006  57.55
1960-1964     20-24     0.00122  0.00610  2.49   95348     581  475283  5034045  52.80
1960-1964     25-29     0.00134  0.00666  2.57   94767     631  472300  4558762  48.11
1960-1964     30-34     0.00159  0.00791  2.60   94136     745  468892  4086462  43.41
1960-1964     35-39     0.00207  0.01032  2.63   93391     964  464674  3617570  38.74
1960-1964     40-44     0.00289  0.01434  2.65   92427    1325  459022  3152896  34.11
1960-1964     45-49     0.00449  0.02220  2.66   91102    2023  450774  2693874  29.57
1960-1964     50-54     0.00735  0.03611  2.67   89079    3217  437907  2243100  25.18
1960-1964     55-59     0.01217  0.05920  2.70   85862    5083  417608  1805193  21.02
1960-1964     60-64     0.01999  0.09545  2.64   80780    7711  385686  1387585  17.18
1960-1964     65-69     0.03107  0.14462  2.61   73069   10568  340085  1001899  13.71
1960-1964     70-74     0.05038  0.22471  2.60   62501   14045  278790   661814  10.59
1960-1964     75-79     0.08266  0.34352  2.54   48457   16646  201379   383024   7.90
1960-1964     80-84     0.13735  0.50749  2.43   31811   16144  117536   181645   5.71
1960-1964     85-89     0.21477  0.67376  2.24   15667   10556   49151    64109   4.09
1960-1964     90-94     0.32394  0.82192  2.00    5111    4201   12969    14959   2.93
1960-1964     95-99     0.44752  0.90976  1.74     910     828    1850     1990   2.19
1960-1964    100-104    0.58290  0.95766  1.49      82      79     135      140   1.70
1960-1964    105-109    0.70831  0.97897  1.30       3       3       5        5   1.41
1960-1964    110+       0.79827  1.00000  1.25       0       0       0        0   1.25
1965-1969        0      0.02705  0.02642  0.12  100000    2642   97684  7010481  70.10
1965-1969      1-4      0.00108  0.00431  1.52   97358     420  388392  6912797  71.00
1965-1969      5-9      0.00050  0.00252  2.32   96938     244  484036  6524405  67.30
1965-1969     10-14     0.00039  0.00195  2.48   96694     188  482995  6040369  62.47
1965-1969     15-19     0.00094  0.00470  2.86   96505     454  481558  5557374  57.59
1965-1969     20-24     0.00117  0.00581  2.43   96052     559  478826  5075816  52.84
1965-1969     25-29     0.00118  0.00587  2.55   95493     560  476091  4596991  48.14
1965-1969     30-34     0.00155  0.00773  2.63   94933     733  472926  4120900  43.41
1965-1969     35-39     0.00214  0.01066  2.62   94199    1004  468604  3647974  38.73
1965-1969     40-44     0.00298  0.01480  2.63   93195    1379  462700  3179370  34.12
1965-1969     45-49     0.00459  0.02269  2.66   91816    2083  454203  2716670  29.59
1965-1969     50-54     0.00695  0.03422  2.67   89732    3070  441512  2262467  25.21
1965-1969     55-59     0.01151  0.05606  2.67   86662    4858  422014  1820955  21.01
1965-1969     60-64     0.01970  0.09420  2.67   81804    7706  391086  1398942  17.10
1965-1969     65-69     0.03248  0.15075  2.62   74098   11170  343958  1007856  13.60
1965-1969     70-74     0.05158  0.22925  2.58   62928   14426  279662   663898  10.55
1965-1969     75-79     0.08271  0.34348  2.53   48502   16660  201416   384236   7.92
1965-1969     80-84     0.13631  0.50403  2.42   31842   16049  117743   182820   5.74
1965-1969     85-89     0.21291  0.67101  2.25   15793   10597   49772    65077   4.12
1965-1969     90-94     0.32121  0.81858  2.01    5196    4253   13240    15305   2.95
1965-1969     95-99     0.44660  0.90937  1.74     943     857    1919     2065   2.19
1965-1969    100-104    0.58291  0.95772  1.49      85      82     140      145   1.70
1965-1969    105-109    0.70941  0.97914  1.30       4       4       5        5   1.41
1965-1969    110+       0.80005  1.00000  1.25       0       0       0        0   1.25
1970-1974        0      0.02484  0.02431  0.12  100000    2431   97854  7066838  70.67
1970-1974      1-4      0.00091  0.00362  1.60   97569     353  389426  6968983  71.43
1970-1974      5-9      0.00044  0.00222  2.38   97216     216  485513  6579557  67.68
1970-1974     10-14     0.00039  0.00194  2.67   97000     188  484561  6094044  62.83
1970-1974     15-19     0.00114  0.00571  2.91   96811     552  482901  5609483  57.94
1970-1974     20-24     0.00125  0.00624  2.42   96259     600  479744  5126581  53.26
1970-1974     25-29     0.00120  0.00596  2.53   95659     570  476884  4646838  48.58
1970-1974     30-34     0.00141  0.00702  2.60   95088     668  473839  4169954  43.85
1970-1974     35-39     0.00207  0.01032  2.71   94421     974  469875  3696115  39.15
1970-1974     40-44     0.00317  0.01571  2.64   93446    1468  463766  3226240  34.53
1970-1974     45-49     0.00458  0.02267  2.66   91978    2085  455016  2762474  30.03
1970-1974     50-54     0.00700  0.03443  2.65   89893    3095  442195  2307458  25.67
1970-1974     55-59     0.01066  0.05202  2.67   86797    4515  423444  1865262  21.49
1970-1974     60-64     0.01784  0.08565  2.67   82282    7048  395007  1441819  17.52
1970-1974     65-69     0.03021  0.14102  2.65   75235   10610  351242  1046812  13.91
1970-1974     70-74     0.04984  0.22259  2.60   64625   14385  288642   695570  10.76
1970-1974     75-79     0.07991  0.33370  2.53   50241   16765  209808   406927   8.10
1970-1974     80-84     0.13099  0.48989  2.43   33475   16399  125196   197119   5.89
1970-1974     85-89     0.20697  0.65961  2.25   17076   11264   54422    71923   4.21
1970-1974     90-94     0.31285  0.80726  2.00    5813    4692   14999    17501   3.01
1970-1974     95-99     0.43722  0.90454  1.76    1120    1013    2318     2502   2.23
1970-1974    100-104    0.57407  0.95562  1.51     107     102     178      185   1.73
1970-1974    105-109    0.70240  0.97833  1.31       5       5       7        7   1.42
