Canada, Life tables (period 5x5), Total     Last modified: 11-Aug-2014, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1921-1924        0      0.11830  0.10967  0.33  100000   10967   92697  5742334  57.42
1921-1924      1-4      0.00864  0.03381  1.39   89033    3010  348286  5649636  63.46
1921-1924      5-9      0.00268  0.01333  2.30   86023    1146  427018  5301350  61.63
1921-1924     10-14     0.00203  0.01011  2.54   84877     858  422278  4874332  57.43
1921-1924     15-19     0.00300  0.01492  2.68   84019    1254  417192  4452054  52.99
1921-1924     20-24     0.00394  0.01950  2.54   82765    1614  409863  4034862  48.75
1921-1924     25-29     0.00414  0.02048  2.53   81152    1662  401656  3624999  44.67
1921-1924     30-34     0.00430  0.02125  2.50   79490    1689  393225  3223342  40.55
1921-1924     35-39     0.00521  0.02574  2.53   77801    2003  384064  2830118  36.38
1921-1924     40-44     0.00609  0.02999  2.51   75798    2273  373333  2446054  32.27
1921-1924     45-49     0.00754  0.03702  2.56   73525    2722  360986  2072721  28.19
1921-1924     50-54     0.01023  0.04991  2.60   70803    3534  345533  1711735  24.18
1921-1924     55-59     0.01505  0.07264  2.61   67269    4886  324669  1366201  20.31
1921-1924     60-64     0.02212  0.10506  2.61   62383    6554  296241  1041532  16.70
1921-1924     65-69     0.03600  0.16564  2.59   55829    9247  256849   745291  13.35
1921-1924     70-74     0.05520  0.24346  2.58   46582   11341  205435   488442  10.49
1921-1924     75-79     0.08807  0.35996  2.46   35241   12685  144038   283007   8.03
1921-1924     80-84     0.12616  0.47645  2.43   22556   10747   85183   138970   6.16
1921-1924     85-89     0.19528  0.63206  2.21   11809    7464   38222    53786   4.55
1921-1924     90-94     0.25567  0.73311  2.09    4345    3185   12459    15565   3.58
1921-1924     95-99     0.35988  0.85013  1.90    1160     986    2739     3105   2.68
1921-1924    100-104    0.46706  0.91693  1.69     174     159     341      366   2.11
1921-1924    105-109    0.57786  0.95509  1.50      14      14      24       25   1.72
1921-1924    110+       0.66609  1.00000  1.50       1       1       1        1   1.50
1925-1929        0      0.10549  0.09843  0.32  100000    9843   93310  5843550  58.44
1925-1929      1-4      0.00786  0.03082  1.39   90157    2779  353379  5750240  63.78
1925-1929      5-9      0.00244  0.01213  2.25   87378    1060  433982  5396861  61.76
1925-1929     10-14     0.00198  0.00986  2.58   86318     851  429532  4962880  57.50
1925-1929     15-19     0.00288  0.01428  2.66   85467    1221  424482  4533347  53.04
1925-1929     20-24     0.00380  0.01881  2.52   84247    1585  417310  4108865  48.77
1925-1929     25-29     0.00397  0.01963  2.52   82662    1623  409290  3691555  44.66
1925-1929     30-34     0.00410  0.02031  2.54   81039    1646  401145  3282265  40.50
1925-1929     35-39     0.00499  0.02465  2.54   79393    1957  392163  2881120  36.29
1925-1929     40-44     0.00593  0.02920  2.52   77437    2261  381571  2488957  32.14
1925-1929     45-49     0.00746  0.03662  2.58   75175    2753  369202  2107386  28.03
1925-1929     50-54     0.01005  0.04905  2.61   72422    3553  353617  1738184  24.00
1925-1929     55-59     0.01484  0.07167  2.62   68869    4936  332608  1384567  20.10
1925-1929     60-64     0.02253  0.10694  2.63   63933    6837  303470  1051959  16.45
1925-1929     65-69     0.03641  0.16732  2.58   57096    9553  262397   748489  13.11
1925-1929     70-74     0.05650  0.24835  2.57   47543   11807  208980   486092  10.22
1925-1929     75-79     0.09312  0.37675  2.47   35736   13463  144574   277112   7.75
1925-1929     80-84     0.13175  0.49197  2.43   22272   10957   83170   132538   5.95
1925-1929     85-89     0.20422  0.65046  2.21   11315    7360   36041    49369   4.36
1925-1929     90-94     0.27466  0.75941  2.06    3955    3004   10936    13328   3.37
1925-1929     95-99     0.38535  0.87027  1.85     952     828    2149     2393   2.51
1925-1929    100-104    0.49984  0.93115  1.63     123     115     230      244   1.97
1925-1929    105-109    0.61510  0.96376  1.44       8       8      13       14   1.62
1925-1929    110+       0.70495  1.00000  1.42       0       0       0        0   1.42
1930-1934        0      0.09003  0.08468  0.30  100000    8468   94056  6108208  61.08
1930-1934      1-4      0.00588  0.02315  1.39   91532    2119  360604  6014152  65.71
1930-1934      5-9      0.00181  0.00902  2.30   89413     806  444887  5653547  63.23
1930-1934     10-14     0.00144  0.00716  2.58   88606     634  441497  5208660  58.78
1930-1934     15-19     0.00226  0.01125  2.72   87972     989  437606  4767163  54.19
1930-1934     20-24     0.00304  0.01510  2.56   86983    1313  431705  4329558  49.77
1930-1934     25-29     0.00337  0.01669  2.54   85669    1430  424824  3897853  45.50
1930-1934     30-34     0.00368  0.01823  2.51   84240    1536  417376  3473029  41.23
1930-1934     35-39     0.00437  0.02161  2.54   82704    1787  409123  3055653  36.95
1930-1934     40-44     0.00524  0.02586  2.58   80917    2093  399513  2646530  32.71
1930-1934     45-49     0.00696  0.03424  2.61   78824    2699  387661  2247016  28.51
1930-1934     50-54     0.00984  0.04809  2.61   76125    3661  371885  1859355  24.43
1930-1934     55-59     0.01442  0.06971  2.64   72464    5052  350382  1487470  20.53
1930-1934     60-64     0.02207  0.10490  2.64   67412    7072  320402  1137088  16.87
1930-1934     65-69     0.03391  0.15674  2.59   60341    9458  278901   816685  13.53
1930-1934     70-74     0.05380  0.23814  2.59   50883   12117  225214   537784  10.57
1930-1934     75-79     0.08667  0.35613  2.50   38766   13806  159283   312571   8.06
1930-1934     80-84     0.12612  0.47740  2.46   24960   11916   94483   153288   6.14
1930-1934     85-89     0.19558  0.63484  2.24   13044    8281   42340    58805   4.51
1930-1934     90-94     0.26591  0.74537  2.05    4763    3550   13352    16465   3.46
1930-1934     95-99     0.37656  0.86399  1.87    1213    1048    2783     3113   2.57
1930-1934    100-104    0.49182  0.92811  1.65     165     153     311      331   2.00
1930-1934    105-109    0.60852  0.96246  1.45      12      11      19       19   1.64
1930-1934    110+       0.69971  1.00000  1.43       0       0       1        1   1.43
1935-1939        0      0.07513  0.07116  0.26  100000    7116   94710  6265814  62.66
1935-1939      1-4      0.00523  0.02065  1.42   92884    1918  366585  6171104  66.44
1935-1939      5-9      0.00176  0.00875  2.24   90966     796  452636  5804519  63.81
1935-1939     10-14     0.00133  0.00663  2.59   90170     598  449409  5351883  59.35
1935-1939     15-19     0.00193  0.00961  2.65   89572     861  445839  4902474  54.73
1935-1939     20-24     0.00255  0.01267  2.56   88711    1124  440817  4456635  50.24
1935-1939     25-29     0.00287  0.01426  2.56   87587    1249  434887  4015818  45.85
1935-1939     30-34     0.00329  0.01632  2.57   86338    1409  428259  3580932  41.48
1935-1939     35-39     0.00404  0.02002  2.55   84929    1701  420470  3152672  37.12
1935-1939     40-44     0.00490  0.02420  2.58   83228    2014  411263  2732202  32.83
1935-1939     45-49     0.00667  0.03283  2.63   81214    2666  399758  2320939  28.58
1935-1939     50-54     0.00964  0.04712  2.61   78548    3701  383910  1921181  24.46
1935-1939     55-59     0.01416  0.06852  2.65   74847    5129  362203  1537271  20.54
1935-1939     60-64     0.02254  0.10701  2.65   69718    7460  331035  1175068  16.85
1935-1939     65-69     0.03352  0.15518  2.61   62258    9661  288191   844033  13.56
1935-1939     70-74     0.05407  0.23935  2.60   52596   12589  232812   555843  10.57
1935-1939     75-79     0.08595  0.35369  2.50   40007   14150  164639   323031   8.07
1935-1939     80-84     0.12633  0.47720  2.44   25857   12339   97673   158392   6.13
1935-1939     85-89     0.19646  0.63693  2.24   13518    8610   43826    60719   4.49
1935-1939     90-94     0.26724  0.75034  2.08    4908    3683   13781    16893   3.44
1935-1939     95-99     0.38080  0.86736  1.86    1225    1063    2791     3113   2.54
1935-1939    100-104    0.49852  0.93093  1.63     163     151     304      322   1.98
1935-1939    105-109    0.61745  0.96441  1.44      11      11      18       18   1.61
1935-1939    110+       0.71008  1.00000  1.41       0       0       1        1   1.41
