Chile, Life tables (period 5x5), Total     Last modified: 21-Jun-2013, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1992-1994        0      0.01384  0.01367  0.09  100000    1367   98751  7469323  74.69
1992-1994      1-4      0.00066  0.00265  1.46   98633     261  393869  7370572  74.73
1992-1994      5-9      0.00027  0.00134  2.40   98372     132  491516  6976703  70.92
1992-1994     10-14     0.00029  0.00145  2.68   98240     143  490869  6485187  66.01
1992-1994     15-19     0.00064  0.00318  2.74   98097     312  489781  5994318  61.11
1992-1994     20-24     0.00097  0.00486  2.53   97785     475  487755  5504538  56.29
1992-1994     25-29     0.00114  0.00567  2.51   97310     551  485176  5016783  51.55
1992-1994     30-34     0.00126  0.00630  2.55   96759     609  482300  4531606  46.83
1992-1994     35-39     0.00171  0.00853  2.60   96150     821  478779  4049306  42.11
1992-1994     40-44     0.00239  0.01190  2.63   95329    1135  473959  3570527  37.45
1992-1994     45-49     0.00382  0.01892  2.62   94194    1783  466733  3096568  32.87
1992-1994     50-54     0.00575  0.02835  2.64   92412    2619  455883  2629835  28.46
1992-1994     55-59     0.00899  0.04404  2.66   89792    3954  439711  2173952  24.21
1992-1994     60-64     0.01424  0.06892  2.65   85838    5916  415289  1734241  20.20
1992-1994     65-69     0.02211  0.10517  2.68   79922    8405  380121  1318952  16.50
1992-1994     70-74     0.03605  0.16577  2.58   71517   11856  328915   938831  13.13
1992-1994     75-79     0.05728  0.25149  2.58   59662   15005  261954   609916  10.22
1992-1994     80-84     0.08799  0.36095  2.51   44657   16119  183181   347962   7.79
1992-1994     85-89     0.13790  0.50777  2.40   28538   14491  105087   164781   5.77
1992-1994     90-94     0.20653  0.65615  2.22   14047    9217   44628    59694   4.25
1992-1994     95-99     0.30114  0.79543  2.03    4830    3842   12758    15066   3.12
1992-1994    100-104    0.41711  0.89226  1.79     988     882    2114     2308   2.34
1992-1994    105-109    0.54467  0.94713  1.56     106     101     185      194   1.82
1992-1994    110+       0.64905  1.00000  1.54       6       6       9        9   1.54
1995-1999        0      0.01111  0.01100  0.08  100000    1100   98987  7560235  75.60
1995-1999      1-4      0.00055  0.00218  1.66   98900     216  395094  7461248  75.44
1995-1999      5-9      0.00025  0.00124  2.37   98684     122  493100  7066154  71.60
1995-1999     10-14     0.00027  0.00133  2.71   98562     131  492509  6573055  66.69
1995-1999     15-19     0.00058  0.00289  2.80   98431     285  491530  6080545  61.77
1995-1999     20-24     0.00092  0.00461  2.58   98146     453  489635  5589015  56.95
1995-1999     25-29     0.00105  0.00522  2.57   97694     510  487230  5099381  52.20
1995-1999     30-34     0.00126  0.00630  2.58   97183     612  484436  4612150  47.46
1995-1999     35-39     0.00157  0.00782  2.62   96571     755  481054  4127715  42.74
