Czech Republic, Life tables (period 5x5), Total     Last modified: 02-Oct-2015, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1950-1954        0      0.04809  0.04626  0.18  100000    4626   96212  6638481  66.38
1950-1954      1-4      0.00213  0.00847  1.42   95374     807  379414  6542268  68.60
1950-1954      5-9      0.00064  0.00320  2.32   94566     303  472018  6162854  65.17
1950-1954     10-14     0.00061  0.00307  2.62   94263     289  470627  5690837  60.37
1950-1954     15-19     0.00113  0.00563  2.80   93974     529  468705  5220210  55.55
1950-1954     20-24     0.00155  0.00771  2.54   93445     721  465452  4751505  50.85
1950-1954     25-29     0.00168  0.00837  2.52   92724     776  461692  4286053  46.22
1950-1954     30-34     0.00197  0.00980  2.59   91948     901  457563  3824361  41.59
1950-1954     35-39     0.00255  0.01267  2.60   91047    1153  452460  3366798  36.98
1950-1954     40-44     0.00357  0.01769  2.65   89893    1590  445735  2914338  32.42
1950-1954     45-49     0.00558  0.02752  2.68   88303    2430  435888  2468603  27.96
1950-1954     50-54     0.00912  0.04465  2.67   85873    3834  420446  2032715  23.67
1950-1954     55-59     0.01429  0.06911  2.65   82039    5670  396857  1612269  19.65
1950-1954     60-64     0.02279  0.10814  2.64   76369    8258  362382  1215412  15.92
1950-1954     65-69     0.03679  0.16911  2.62   68110   11518  313097   853030  12.52
1950-1954     70-74     0.06064  0.26432  2.58   56592   14958  246692   539933   9.54
1950-1954     75-79     0.09984  0.39963  2.50   41634   16638  166645   293241   7.04
1950-1954     80-84     0.16270  0.56928  2.36   24996   14230   87461   126596   5.06
1950-1954     85-89     0.25020  0.73249  2.17   10766    7886   31519    39134   3.63
1950-1954     90-94     0.36340  0.85900  1.93    2880    2474    6808     7615   2.64
1950-1954     95-99     0.49545  0.93089  1.65     406     378     763      807   1.99
1950-1954    100-104    0.62830  0.96708  1.42      28      27      43       44   1.58
1950-1954    105-109    0.74532  0.98286  1.25       1       1       1        1   1.34
1950-1954    110+       0.82646  1.00000  1.21       0       0       0        0   1.21
1955-1959        0      0.02486  0.02432  0.12  100000    2432   97853  6943076  69.43
1955-1959      1-4      0.00126  0.00502  1.50   97568     490  389047  6845223  70.16
1955-1959      5-9      0.00051  0.00255  2.34   97078     248  484730  6456176  66.51
1955-1959     10-14     0.00046  0.00229  2.59   96830     222  483618  5971446  61.67
1955-1959     15-19     0.00090  0.00448  2.85   96609     433  482111  5487827  56.80
1955-1959     20-24     0.00119  0.00593  2.55   96176     570  479484  5005717  52.05
1955-1959     25-29     0.00124  0.00619  2.48   95606     592  476538  4526233  47.34
1955-1959     30-34     0.00149  0.00744  2.61   95014     707  473383  4049694  42.62
1955-1959     35-39     0.00196  0.00973  2.56   94307     918  469301  3576312  37.92
1955-1959     40-44     0.00289  0.01437  2.66   93390    1342  463804  3107011  33.27
1955-1959     45-49     0.00463  0.02291  2.70   92048    2109  455393  2643206  28.72
1955-1959     50-54     0.00803  0.03944  2.70   89939    3547  441526  2187814  24.33
