England and Wales, Total Population, Life tables (period 5x5), Total     Last modified: 27-Jul-2015, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1844        0      0.16239  0.14664  0.34  100000   14664   90304  4155031  41.55
1841-1844      1-4      0.03594  0.13162  1.44   85336   11232  312569  4064727  47.63
1841-1844      5-9      0.00908  0.04422  2.03   74104    3277  360770  3752159  50.63
1841-1844     10-14     0.00504  0.02489  2.52   70827    1763  349765  3391389  47.88
1841-1844     15-19     0.00721  0.03546  2.65   69064    2449  339553  3041624  44.04
1841-1844     20-24     0.00900  0.04400  2.51   66615    2931  325777  2702071  40.56
1841-1844     25-29     0.00953  0.04653  2.51   63683    2963  311025  2376294  37.31
1841-1844     30-34     0.00986  0.04809  2.50   60720    2920  296301  2065269  34.01
1841-1844     35-39     0.01186  0.05763  2.57   57800    3331  280910  1768968  30.61
1841-1844     40-44     0.01259  0.06101  2.47   54469    3323  263931  1488058  27.32
1841-1844     45-49     0.01527  0.07366  2.59   51146    3767  246663  1224127  23.93
1841-1844     50-54     0.01739  0.08330  2.49   47378    3947  226998   977464  20.63
1841-1844     55-59     0.02578  0.12161  2.67   43432    5282  204866   750466  17.28
1841-1844     60-64     0.03229  0.14930  2.48   38150    5696  176393   545600  14.30
1841-1844     65-69     0.05171  0.23051  2.65   32454    7481  144676   369206  11.38
1841-1844     70-74     0.07355  0.30962  2.45   24973    7732  105123   224530   8.99
1841-1844     75-79     0.11425  0.44385  2.49   17241    7652   66979   119407   6.93
1841-1844     80-84     0.15199  0.54306  2.37    9588    5207   34258    52427   5.47
1841-1844     85-89     0.21578  0.67300  2.20    4381    2949   13665    18169   4.15
1841-1844     90-94     0.30009  0.79236  2.02    1433    1135    3783     4504   3.14
1841-1844     95-99     0.40131  0.88060  1.81     297     262     653      721   2.43
1841-1844    100-104    0.51102  0.93489  1.61      36      33      65       69   1.93
1841-1844    105-109    0.62048  0.96460  1.43       2       2       4        4   1.60
1841-1844    110+       0.70579  1.00000  1.42       0       0       0        0   1.42
1845-1849        0      0.17397  0.15602  0.34  100000   15602   89684  3938496  39.38
1845-1849      1-4      0.03897  0.14169  1.43   84398   11958  306858  3848812  45.60
1845-1849      5-9      0.00960  0.04667  2.02   72440    3381  352110  3541954  48.90
