Northern Ireland, Life tables (period 5x5), Total     Last modified: 29-Jan-2016, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1922-1924        0      0.08427  0.07946  0.28  100000    7946   94289  5470757  54.71
1922-1924      1-4      0.01132  0.04394  1.30   92054    4045  357284  5376468  58.41
1922-1924      5-9      0.00253  0.01258  2.23   88009    1107  436984  5019184  57.03
1922-1924     10-14     0.00215  0.01071  2.71   86902     931  432375  4582201  52.73
1922-1924     15-19     0.00412  0.02039  2.70   85971    1753  425821  4149826  48.27
1922-1924     20-24     0.00551  0.02718  2.54   84219    2289  415460  3724005  44.22
1922-1924     25-29     0.00624  0.03075  2.55   81929    2519  403467  3308545  40.38
1922-1924     30-34     0.00672  0.03306  2.49   79410    2625  390463  2905078  36.58
1922-1924     35-39     0.00754  0.03704  2.59   76785    2844  377061  2514615  32.75
1922-1924     40-44     0.00877  0.04289  2.48   73941    3172  361724  2137554  28.91
1922-1924     45-49     0.01052  0.05137  2.69   70769    3635  345447  1775831  25.09
1922-1924     50-54     0.01688  0.08105  2.56   67134    5441  322409  1430384  21.31
1922-1924     55-59     0.02093  0.09970  2.63   61693    6151  293887  1107975  17.96
1922-1924     60-64     0.03183  0.14749  2.52   55543    8192  257390   814089  14.66
1922-1924     65-69     0.03966  0.18117  2.61   47351    8578  216276   556699  11.76
1922-1924     70-74     0.07672  0.32342  2.57   38772   12540  163449   340423   8.78
1922-1924     75-79     0.11533  0.44278  2.38   26233   11615  100717   176974   6.75
1922-1924     80-84     0.16628  0.57489  2.32   14617    8403   50539    76257   5.22
1922-1924     85-89     0.21873  0.67451  2.16    6214    4191   19162    25718   4.14
1922-1924     90-94     0.29205  0.78181  2.03    2023    1581    5415     6556   3.24
1922-1924     95-99     0.37577  0.86046  1.85     441     380    1011     1141   2.59
1922-1924    100-104    0.46427  0.91381  1.68      62      56     121      131   2.12
1922-1924    105-109    0.55399  0.94734  1.53       5       5       9       10   1.79
1922-1924    110+       0.62501  1.00000  1.60       0       0       0        0   1.60
1925-1929        0      0.08735  0.08226  0.29  100000    8226   94162  5568531  55.69
1925-1929      1-4      0.01163  0.04509  1.25   91774    4138  355716  5474369  59.65
1925-1929      5-9      0.00245  0.01218  2.24   87636    1067  435235  5118653  58.41
1925-1929     10-14     0.00210  0.01046  2.60   86569     906  430673  4683418  54.10
1925-1929     15-19     0.00334  0.01656  2.67   85663    1418  425016  4252745  49.64
1925-1929     20-24     0.00457  0.02260  2.56   84245    1904  416581  3827728  45.44
1925-1929     25-29     0.00481  0.02378  2.51   82341    1958  406822  3411147  41.43
1925-1929     30-34     0.00567  0.02796  2.57   80383    2247  396460  3004325  37.38
1925-1929     35-39     0.00634  0.03122  2.53   78136    2440  384654  2607865  33.38
1925-1929     40-44     0.00817  0.04009  2.62   75696    3035  371255  2223211  29.37
1925-1929     45-49     0.01042  0.05080  2.58   72662    3691  354386  1851956  25.49
1925-1929     50-54     0.01502  0.07250  2.62   68970    5000  332944  1497570  21.71
1925-1929     55-59     0.02006  0.09571  2.61   63970    6123  305225  1164625  18.21
1925-1929     60-64     0.03126  0.14530  2.58   57848    8405  268862   859401  14.86
1925-1929     65-69     0.04147  0.18881  2.63   49442    9335  225082   590539  11.94
1925-1929     70-74     0.07652  0.32135  2.51   40107   12889  168423   365457   9.11
1925-1929     75-79     0.09407  0.37908  2.44   27219   10318  109682   197033   7.24
1925-1929     80-84     0.16574  0.57465  2.33   16901    9712   58599    87352   5.17
1925-1929     85-89     0.22976  0.69334  2.14    7189    4984   21694    28753   4.00
1925-1929     90-94     0.29517  0.78691  2.03    2205    1735    5877     7059   3.20
1925-1929     95-99     0.38683  0.86899  1.83     470     408    1055     1182   2.52
1925-1929    100-104    0.47971  0.92116  1.66      62      57     118      127   2.06
1925-1929    105-109    0.57354  0.95302  1.50       5       5       8        8   1.73
1925-1929    110+       0.64789  1.00000  1.54       0       0       0        0   1.54
1930-1934        0      0.07852  0.07424  0.27  100000    7424   94550  5795728  57.96
1930-1934      1-4      0.00844  0.03302  1.30   92576    3057  362047  5701178  61.58
1930-1934      5-9      0.00216  0.01074  2.20   89520     961  444908  5339131  59.64
1930-1934     10-14     0.00178  0.00889  2.68   88559     787  440970  4894223  55.27
1930-1934     15-19     0.00300  0.01489  2.64   87772    1307  435778  4453253  50.74
1930-1934     20-24     0.00394  0.01951  2.53   86465    1687  428166  4017474  46.46
1930-1934     25-29     0.00408  0.02019  2.54   84778    1711  419687  3589308  42.34
1930-1934     30-34     0.00486  0.02402  2.54   83067    1996  410425  3169622  38.16
1930-1934     35-39     0.00577  0.02848  2.59   81071    2309  399802  2759196  34.03
1930-1934     40-44     0.00729  0.03581  2.55   78762    2820  386901  2359394  29.96
1930-1934     45-49     0.00956  0.04676  2.66   75942    3551  371404  1972493  25.97
1930-1934     50-54     0.01385  0.06699  2.58   72391    4850  350196  1601089  22.12
1930-1934     55-59     0.01888  0.09034  2.63   67542    6102  323248  1250893  18.52
1930-1934     60-64     0.02793  0.13085  2.59   61440    8039  287802   927645  15.10
1930-1934     65-69     0.04232  0.19249  2.65   53400   10279  242895   639843  11.98
1930-1934     70-74     0.07642  0.32118  2.52   43121   13850  181235   396949   9.21
1930-1934     75-79     0.09463  0.37859  2.36   29271   11082  117111   215714   7.37
1930-1934     80-84     0.15608  0.55068  2.33   18189   10017   64176    98604   5.42
1930-1934     85-89     0.21359  0.66732  2.19    8173    5454   25534    34427   4.21
1930-1934     90-94     0.28833  0.77771  2.04    2719    2115    7334     8893   3.27
1930-1934     95-99     0.37622  0.86143  1.85     604     521    1384     1559   2.58
1930-1934    100-104    0.47034  0.91713  1.67      84      77     163      176   2.10
1930-1934    105-109    0.56579  0.95103  1.51       7       7      12       12   1.76
1930-1934    110+       0.64141  1.00000  1.56       0       0       1        1   1.56
1935-1939        0      0.08218  0.07756  0.28  100000    7756   94379  5854710  58.55
1935-1939      1-4      0.00766  0.03000  1.31   92244    2768  361516  5760331  62.45
1935-1939      5-9      0.00206  0.01026  2.28   89476     918  444882  5398815  60.34
1935-1939     10-14     0.00168  0.00836  2.54   88558     740  440967  4953933  55.94
1935-1939     15-19     0.00242  0.01204  2.72   87817    1057  436674  4512966  51.39
1935-1939     20-24     0.00345  0.01708  2.53   86760    1482  430140  4076291  46.98
1935-1939     25-29     0.00369  0.01828  2.52   85278    1559  422531  3646152  42.76
1935-1939     30-34     0.00427  0.02114  2.58   83719    1770  414320  3223621  38.51
1935-1939     35-39     0.00520  0.02569  2.56   81950    2105  404608  2809301  34.28
1935-1939     40-44     0.00671  0.03301  2.60   79845    2636  392909  2404692  30.12
1935-1939     45-49     0.00901  0.04408  2.62   77209    3403  377938  2011783  26.06
1935-1939     50-54     0.01378  0.06670  2.62   73806    4923  357327  1633845  22.14
1935-1939     55-59     0.01818  0.08710  2.60   68883    6000  329999  1276518  18.53
1935-1939     60-64     0.02836  0.13279  2.60   62883    8350  294390   946519  15.05
1935-1939     65-69     0.04210  0.19141  2.63   54533   10438  247949   652128  11.96
1935-1939     70-74     0.07438  0.31431  2.54   44095   13860  186346   404179   9.17
1935-1939     75-79     0.10245  0.40460  2.40   30236   12233  119408   217833   7.20
1935-1939     80-84     0.15581  0.55007  2.33   18002    9903   63555    98424   5.47
1935-1939     85-89     0.20731  0.65376  2.18    8100    5295   25543    34869   4.31
1935-1939     90-94     0.28202  0.77251  2.07    2804    2166    7682     9326   3.33
1935-1939     95-99     0.37655  0.86186  1.85     638     550    1460     1644   2.58
1935-1939    100-104    0.47251  0.91829  1.67      88      81     171      184   2.09
1935-1939    105-109    0.57013  0.95234  1.50       7       7      12       13   1.74
1935-1939    110+       0.64772  1.00000  1.54       0       0       1        1   1.54
1940-1944        0      0.08242  0.07778  0.28  100000    7778   94373  5995913  59.96
1940-1944      1-4      0.00574  0.02261  1.44   92222    2086  363542  5901540  63.99
1940-1944      5-9      0.00185  0.00919  2.23   90136     828  448384  5537998  61.44
1940-1944     10-14     0.00152  0.00755  2.66   89308     675  444963  5089615  56.99
1940-1944     15-19     0.00255  0.01267  2.64   88633    1123  440517  4644651  52.40
1940-1944     20-24     0.00327  0.01622  2.58   87511    1419  434116  4204135  48.04
1940-1944     25-29     0.00341  0.01690  2.48   86091    1455  426785  3770019  43.79
1940-1944     30-34     0.00383  0.01898  2.56   84636    1606  419264  3343234  39.50
1940-1944     35-39     0.00458  0.02265  2.59   83030    1881  410608  2923970  35.22
1940-1944     40-44     0.00588  0.02899  2.59   81149    2352  400087  2513363  30.97
1940-1944     45-49     0.00842  0.04128  2.65   78797    3252  386345  2113276  26.82
1940-1944     50-54     0.01210  0.05877  2.58   75544    4440  366966  1726930  22.86
1940-1944     55-59     0.01678  0.08073  2.65   71105    5740  342045  1359965  19.13
1940-1944     60-64     0.02600  0.12233  2.58   65364    7996  307488  1017919  15.57
1940-1944     65-69     0.03908  0.17896  2.65   57368   10266  262677   710431  12.38
1940-1944     70-74     0.07036  0.29994  2.54   47102   14128  200784   447754   9.51
1940-1944     75-79     0.09363  0.37701  2.42   32974   12432  132781   246971   7.49
1940-1944     80-84     0.15123  0.54003  2.35   20543   11094   73357   114190   5.56
1940-1944     85-89     0.20707  0.65478  2.19    9449    6187   29879    40832   4.32
1940-1944     90-94     0.27939  0.76732  2.06    3262    2503    8959    10953   3.36
1940-1944     95-99     0.36854  0.85571  1.87     759     649    1762     1995   2.63
1940-1944    100-104    0.46427  0.91455  1.69     110     100     216      232   2.12
1940-1944    105-109    0.56273  0.95040  1.52       9       9      16       17   1.77
1940-1944    110+       0.64146  1.00000  1.56       0       0       1        1   1.56
1945-1949        0      0.05506  0.05274  0.20  100000    5274   95785  6484752  64.85
1945-1949      1-4      0.00295  0.01173  1.41   94726    1111  376026  6388966  67.45
1945-1949      5-9      0.00096  0.00478  2.20   93615     447  466823  6012940  64.23
1945-1949     10-14     0.00087  0.00432  2.75   93168     403  464934  5546117  59.53
1945-1949     15-19     0.00175  0.00871  2.70   92765     808  461966  5081183  54.77
1945-1949     20-24     0.00222  0.01106  2.51   91957    1017  457254  4619217  50.23
1945-1949     25-29     0.00239  0.01190  2.58   90940    1082  452077  4161964  45.77
1945-1949     30-34     0.00276  0.01372  2.52   89858    1233  446233  3709886  41.29
1945-1949     35-39     0.00332  0.01645  2.60   88625    1458  439620  3263653  36.83
1945-1949     40-44     0.00447  0.02213  2.64   87167    1929  431291  2824033  32.40
1945-1949     45-49     0.00667  0.03284  2.65   85238    2799  419607  2392742  28.07
1945-1949     50-54     0.00999  0.04877  2.62   82439    4021  402626  1973135  23.93
1945-1949     55-59     0.01430  0.06916  2.65   78418    5423  379333  1570509  20.03
1945-1949     60-64     0.02341  0.11086  2.62   72995    8092  345716  1191176  16.32
1945-1949     65-69     0.03430  0.15858  2.63   64903   10293  300117   845460  13.03
1945-1949     70-74     0.06194  0.26938  2.58   54610   14711  237493   545342   9.99
1945-1949     75-79     0.09257  0.37434  2.45   39899   14936  161355   307849   7.72
1945-1949     80-84     0.13795  0.50772  2.40   24963   12674   91877   146494   5.87
1945-1949     85-89     0.20022  0.64249  2.21   12289    7895   39433    54617   4.44
1945-1949     90-94     0.26858  0.75565  2.11    4393    3320   12361    15183   3.46
1945-1949     95-99     0.36760  0.85586  1.88    1074     919    2499     2823   2.63
1945-1949    100-104    0.47103  0.91833  1.68     155     142     302      323   2.09
1945-1949    105-109    0.57697  0.95459  1.50      13      12      21       22   1.72
1945-1949    110+       0.66108  1.00000  1.51       1       1       1        1   1.51
1950-1954        0      0.03963  0.03835  0.16  100000    3835   96771  6780547  67.81
1950-1954      1-4      0.00158  0.00630  1.51   96165     605  383149  6683776  69.50
1950-1954      5-9      0.00060  0.00298  2.33   95559     285  477035  6300627  65.93
1950-1954     10-14     0.00050  0.00248  2.56   95274     236  475795  5823592  61.12
1950-1954     15-19     0.00075  0.00376  2.70   95038     358  474368  5347797  56.27
1950-1954     20-24     0.00118  0.00590  2.65   94680     558  472087  4873429  51.47
1950-1954     25-29     0.00150  0.00746  2.55   94122     702  468891  4401342  46.76
1950-1954     30-34     0.00186  0.00925  2.64   93420     864  465057  3932451  42.09
1950-1954     35-39     0.00248  0.01234  2.59   92556    1142  460022  3467395  37.46
1950-1954     40-44     0.00355  0.01760  2.67   91414    1609  453321  3007373  32.90
1950-1954     45-49     0.00570  0.02814  2.70   89805    2527  443222  2554052  28.44
1950-1954     50-54     0.00929  0.04544  2.64   87278    3966  427012  2110830  24.19
