Croatia, Life tables (period 5x5), Total     Last modified: 21-Apr-2017, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
2002-2004        0      0.00656  0.00652  0.07  100000     652   99391  7492260  74.92
2002-2004      1-4      0.00028  0.00110  1.61   99348     110  397130  7392868  74.41
2002-2004      5-9      0.00015  0.00073  2.52   99238      72  496013  6995739  70.49
2002-2004     10-14     0.00015  0.00076  2.78   99166      76  495663  6499726  65.54
2002-2004     15-19     0.00052  0.00260  2.94   99091     258  494923  6004063  60.59
2002-2004     20-24     0.00077  0.00386  2.53   98833     382  493222  5509140  55.74
2002-2004     25-29     0.00076  0.00381  2.52   98451     375  491326  5015918  50.95
2002-2004     30-34     0.00095  0.00474  2.55   98076     465  489237  4524592  46.13
2002-2004     35-39     0.00127  0.00632  2.67   97611     617  486613  4035355  41.34
2002-2004     40-44     0.00222  0.01106  2.69   96994    1073  482494  3548742  36.59
2002-2004     45-49     0.00388  0.01923  2.71   95921    1844  475388  3066247  31.97
2002-2004     50-54     0.00630  0.03104  2.62   94076    2920  463438  2590860  27.54
2002-2004     55-59     0.00940  0.04601  2.65   91156    4194  445926  2127421  23.34
2002-2004     60-64     0.01441  0.06969  2.65   86962    6060  420584  1681495  19.34
2002-2004     65-69     0.02329  0.11045  2.66   80902    8936  383632  1260911  15.59
2002-2004     70-74     0.03872  0.17726  2.62   71966   12757  329492   877279  12.19
2002-2004     75-79     0.06339  0.27454  2.56   59209   16255  256434   547787   9.25
2002-2004     80-84     0.10514  0.41577  2.48   42953   17859  169850   291353   6.78
2002-2004     85-89     0.17083  0.59134  2.40   25095   14840   86868   121503   4.84
2002-2004     90-94     0.27194  0.76037  2.10   10255    7798   28675    34634   3.38
2002-2004     95-99     0.39921  0.88281  1.84    2457    2169    5434     5959   2.42
2002-2004    100-104    0.54286  0.94767  1.57     288     273     503      525   1.82
2002-2004    105-109    0.68217  0.97599  1.34      15      15      22       22   1.46
2002-2004    110+       0.78392  1.00000  1.28       0       0       0        0   1.28
2005-2009        0      0.00537  0.00534  0.06  100000     534   99500  7578156  75.78
2005-2009      1-4      0.00023  0.00093  1.71   99466      92  397651  7478656  75.19
2005-2009      5-9      0.00013  0.00066  2.41   99373      65  496697  7081005  71.26
2005-2009     10-14     0.00015  0.00073  2.76   99308      72  496378  6584308  66.30
2005-2009     15-19     0.00048  0.00240  2.97   99235     238  495693  6087931  61.35
2005-2009     20-24     0.00070  0.00350  2.53   98998     347  494131  5592237  56.49
2005-2009     25-29     0.00070  0.00352  2.48   98651     347  492382  5098107  51.68
2005-2009     30-34     0.00081  0.00402  2.61   98304     395  490577  4605724  46.85
2005-2009     35-39     0.00121  0.00605  2.69   97909     593  488174  4115148  42.03
2005-2009     40-44     0.00199  0.00991  2.66   97316     964  484325  3626974  37.27
2005-2009     45-49     0.00359  0.01782  2.70   96352    1717  477805  3142649  32.62
2005-2009     50-54     0.00610  0.03009  2.67   94636    2847  466546  2664844  28.16
2005-2009     55-59     0.00907  0.04439  2.63   91788    4074  449284  2198298  23.95
2005-2009     60-64     0.01335  0.06471  2.65   87714    5676  425204  1749014  19.94
2005-2009     65-69     0.02070  0.09870  2.64   82038    8097  391069  1323810  16.14
2005-2009     70-74     0.03395  0.15719  2.64   73941   11623  342308   932741  12.61
2005-2009     75-79     0.05941  0.26001  2.60   62318   16203  272720   590432   9.47
2005-2009     80-84     0.10219  0.40751  2.52   46114   18792  183891   317712   6.89
2005-2009     85-89     0.16844  0.58224  2.35   27322   15908   94442   133822   4.90
2005-2009     90-94     0.26495  0.75347  2.14   11414    8600   32460    39380   3.45
2005-2009     95-99     0.39302  0.87876  1.85    2814    2473    6292     6920   2.46
2005-2009    100-104    0.53702  0.94597  1.58     341     323     601      628   1.84
2005-2009    105-109    0.67751  0.97537  1.35      18      18      27       27   1.47
2005-2009    110+       0.78049  1.00000  1.28       0       0       1        1   1.28
2010-2014        0      0.00431  0.00430  0.06  100000     430   99596  7725331  77.25
2010-2014      1-4      0.00019  0.00076  1.74   99570      75  398111  7625735  76.59
2010-2014      5-9      0.00010  0.00052  2.44   99495      52  497342  7227624  72.64
2010-2014     10-14     0.00011  0.00057  2.67   99443      57  497083  6730282  67.68
2010-2014     15-19     0.00033  0.00164  2.79   99386     163  496572  6233198  62.72
2010-2014     20-24     0.00049  0.00246  2.51   99224     244  495510  5736626  57.82
2010-2014     25-29     0.00054  0.00271  2.49   98979     268  494223  5241116  52.95
2010-2014     30-34     0.00067  0.00334  2.58   98711     330  492757  4746893  48.09
2010-2014     35-39     0.00099  0.00495  2.64   98381     487  490755  4254136  43.24
2010-2014     40-44     0.00160  0.00795  2.71   97894     779  487690  3763380  38.44
2010-2014     45-49     0.00297  0.01474  2.72   97116    1431  482309  3275691  33.73
2010-2014     50-54     0.00511  0.02524  2.69   95685    2415  472842  2793382  29.19
2010-2014     55-59     0.00830  0.04071  2.68   93269    3797  457548  2320540  24.88
2010-2014     60-64     0.01243  0.06036  2.60   89472    5401  434405  1862992  20.82
2010-2014     65-69     0.01831  0.08777  2.64   84072    7379  402908  1428587  16.99
2010-2014     70-74     0.02932  0.13714  2.65   76692   10518  358726  1025679  13.37
2010-2014     75-79     0.05133  0.22890  2.64   66175   15147  295086   666953  10.08
2010-2014     80-84     0.09203  0.37516  2.54   51027   19143  208020   371867   7.29
2010-2014     85-89     0.15732  0.55772  2.39   31884   17782  113031   163846   5.14
2010-2014     90-94     0.24955  0.72984  2.16   14102   10292   41243    50816   3.60
2010-2014     95-99     0.38323  0.87278  1.88    3810    3325    8677     9573   2.51
2010-2014    100-104    0.53432  0.94567  1.58     485     458     858      896   1.85
2010-2014    105-109    0.68226  0.97625  1.34      26      26      38       38   1.46
2010-2014    110+       0.78957  1.00000  1.27       1       1       1        1   1.27
