Israel, Total Population, Life tables (period 5x5), Total     Last modified: 30-Oct-2015, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1983-1984        0      0.01345  0.01328  0.09  100000    1328   98785  7497383  74.97
1983-1984      1-4      0.00068  0.00273  1.58   98672     269  394035  7398598  74.98
1983-1984      5-9      0.00026  0.00130  2.32   98402     128  491668  7004563  71.18
1983-1984     10-14     0.00026  0.00128  2.80   98274     126  491093  6512895  66.27
1983-1984     15-19     0.00053  0.00267  2.98   98148     262  490211  6021802  61.35
1983-1984     20-24     0.00071  0.00352  2.44   97886     345  488549  5531591  56.51
1983-1984     25-29     0.00065  0.00325  2.53   97541     317  486923  5043042  51.70
1983-1984     30-34     0.00079  0.00396  2.60   97224     385  485198  4556119  46.86
1983-1984     35-39     0.00106  0.00530  2.60   96839     513  482965  4070921  42.04
1983-1984     40-44     0.00167  0.00833  2.74   96326     802  479820  3587956  37.25
1983-1984     45-49     0.00301  0.01493  2.79   95524    1426  474468  3108136  32.54
1983-1984     50-54     0.00521  0.02576  2.75   94098    2424  465039  2633668  27.99
1983-1984     55-59     0.00870  0.04262  2.64   91673    3907  449152  2168629  23.66
1983-1984     60-64     0.01398  0.06769  2.66   87766    5941  424912  1719477  19.59
1983-1984     65-69     0.02296  0.10883  2.61   81825    8905  387886  1294564  15.82
1983-1984     70-74     0.03860  0.17691  2.65   72920   12900  334230   906679  12.43
1983-1984     75-79     0.06608  0.28448  2.56   60020   17075  258389   572449   9.54
1983-1984     80-84     0.09796  0.39482  2.54   42945   16956  173085   314060   7.31
1983-1984     85-89     0.15101  0.54113  2.38   25990   14064   93133   140975   5.42
1983-1984     90-94     0.22193  0.68587  2.22   11926    8180   36857    47842   4.01
1983-1984     95-99     0.32373  0.81898  1.98    3746    3068    9477    10986   2.93
1983-1984    100-104    0.43998  0.90476  1.75     678     614    1395     1508   2.22
1983-1984    105-109    0.56366  0.95215  1.52      65      61     109      114   1.76
1983-1984    110+       0.66277  1.00000  1.51       3       3       5        5   1.51
1985-1989        0      0.01103  0.01092  0.08  100000    1092   98994  7581781  75.82
1985-1989      1-4      0.00052  0.00207  1.53   98908     205  395125  7482787  75.65
1985-1989      5-9      0.00024  0.00121  2.36   98703     119  493201  7087662  71.81
1985-1989     10-14     0.00020  0.00100  2.47   98584      99  492670  6594461  66.89
1985-1989     15-19     0.00050  0.00251  2.93   98485     247  491916  6101791  61.96
1985-1989     20-24     0.00061  0.00306  2.36   98238     301  490399  5609875  57.10
1985-1989     25-29     0.00063  0.00316  2.52   97938     309  488922  5119476  52.27
1985-1989     30-34     0.00077  0.00382  2.63   97629     373  487259  4630555  47.43
1985-1989     35-39     0.00098  0.00490  2.67   97255     476  485166  4143296  42.60
1985-1989     40-44     0.00164  0.00816  2.68   96779     789  482065  3658130  37.80
1985-1989     45-49     0.00274  0.01361  2.69   95990    1307  476935  3176065  33.09
1985-1989     50-54     0.00476  0.02356  2.71   94683    2231  468310  2699130  28.51
1985-1989     55-59     0.00839  0.04118  2.72   92452    3807  453575  2230819  24.13
1985-1989     60-64     0.01344  0.06518  2.66   88645    5778  429720  1777244  20.05
1985-1989     65-69     0.02215  0.10527  2.66   82868    8724  393897  1347524  16.26
1985-1989     70-74     0.03624  0.16685  2.63   74144   12371  341368   953627  12.86
1985-1989     75-79     0.06231  0.27118  2.61   61773   16752  268832   612259   9.91
1985-1989     80-84     0.09008  0.36781  2.51   45022   16559  183825   343427   7.63
1985-1989     85-89     0.14474  0.52540  2.39   28462   14954  103315   159602   5.61
1985-1989     90-94     0.20822  0.65711  2.19   13508    8876   42630    56287   4.17
1985-1989     95-99     0.32114  0.81710  1.99    4632    3785   11785    13657   2.95
1985-1989    100-104    0.44286  0.90684  1.74     847     768    1735     1872   2.21
1985-1989    105-109    0.57255  0.95481  1.51      79      75     132      137   1.73
1985-1989    110+       0.67606  1.00000  1.48       4       4       5        5   1.48
1990-1994        0      0.00884  0.00877  0.07  100000     877   99187  7717626  77.18
1990-1994      1-4      0.00044  0.00177  1.60   99123     175  396072  7618439  76.86
1990-1994      5-9      0.00020  0.00099  2.29   98948      98  494474  7222367  72.99
1990-1994     10-14     0.00016  0.00082  2.58   98850      81  494055  6727893  68.06
1990-1994     15-19     0.00042  0.00210  2.95   98769     207  493421  6233838  63.12
1990-1994     20-24     0.00061  0.00305  2.41   98562     301  492030  5740417  58.24
1990-1994     25-29     0.00059  0.00292  2.45   98261     287  490573  5248387  53.41
1990-1994     30-34     0.00070  0.00352  2.55   97974     345  489026  4757814  48.56
1990-1994     35-39     0.00093  0.00462  2.59   97629     451  487059  4268788  43.72
1990-1994     40-44     0.00149  0.00742  2.66   97178     721  484207  3781729  38.92
1990-1994     45-49     0.00245  0.01216  2.69   96457    1173  479571  3297522  34.19
1990-1994     50-54     0.00401  0.01985  2.69   95284    1891  472056  2817950  29.57
1990-1994     55-59     0.00717  0.03525  2.70   93393    3292  459398  2345894  25.12
1990-1994     60-64     0.01224  0.05949  2.67   90101    5360  438026  1886496  20.94
