Italy, Life tables (period 5x5), Total     Last modified: 28-Aug-2015, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1872-1874        0      0.25702  0.21971  0.34  100000   21971   85483  3121536  31.22
1872-1874      1-4      0.07569  0.25430  1.48   78029   19843  262165  3036053  38.91
1872-1874      5-9      0.01267  0.06084  1.75   58186    3540  279425  2773888  47.67
1872-1874     10-14     0.00626  0.03084  2.55   54646    1685  269103  2494463  45.65
1872-1874     15-19     0.00728  0.03581  2.63   52961    1896  260312  2225360  42.02
1872-1874     20-24     0.01039  0.05066  2.56   51064    2587  249007  1965048  38.48
1872-1874     25-29     0.01043  0.05083  2.47   48478    2464  236149  1716041  35.40
1872-1874     30-34     0.01098  0.05349  2.59   46014    2461  224125  1479892  32.16
1872-1874     35-39     0.01272  0.06167  2.55   43553    2686  211187  1255767  28.83
1872-1874     40-44     0.01343  0.06508  2.61   40867    2659  197985  1044579  25.56
1872-1874     45-49     0.01677  0.08060  2.59   38207    3080  183607   846595  22.16
1872-1874     50-54     0.01919  0.09185  2.67   35128    3227  168120   662988  18.87
1872-1874     55-59     0.02978  0.13916  2.65   31901    4439  149076   494869  15.51
1872-1874     60-64     0.03954  0.18141  2.73   27462    4982  126002   345793  12.59
1872-1874     65-69     0.06839  0.29334  2.58   22480    6594   96429   219791   9.78
1872-1874     70-74     0.08530  0.35341  2.58   15886    5614   65816   123362   7.77
1872-1874     75-79     0.15873  0.55732  2.33   10272    5725   36066    57546   5.60
1872-1874     80-84     0.18446  0.61300  2.26    4547    2787   15111    21480   4.72
1872-1874     85-89     0.25461  0.73421  2.12    1760    1292    5074     6370   3.62
1872-1874     90-94     0.34771  0.84003  1.92     468     393    1130     1295   2.77
1872-1874     95-99     0.44435  0.90521  1.73      75      68     152      165   2.21
1872-1874    100-104    0.54848  0.94666  1.54       7       7      12       13   1.81
1872-1874    105-109    0.64844  0.96941  1.38       0       0       1        1   1.54
1872-1874    110+       0.72485  1.00000  1.38       0       0       0        0   1.38
1875-1879        0      0.23964  0.20688  0.34  100000   20688   86330  3373188  33.73
1875-1879      1-4      0.06212  0.21533  1.52   79312   17078  274915  3286858  41.44
1875-1879      5-9      0.01391  0.06656  1.79   62234    4142  297888  3011943  48.40
1875-1879     10-14     0.00603  0.02972  2.51   58091    1726  286156  2714056  46.72
1875-1879     15-19     0.00674  0.03315  2.60   56365    1869  277347  2427899  43.07
1875-1879     20-24     0.00957  0.04674  2.55   54497    2547  266238  2150552  39.46
1875-1879     25-29     0.00939  0.04584  2.47   51950    2382  253715  1884314  36.27
1875-1879     30-34     0.01002  0.04890  2.52   49568    2424  241834  1630599  32.90
1875-1879     35-39     0.01151  0.05597  2.53   47144    2639  229214  1388765  29.46
1875-1879     40-44     0.01320  0.06390  2.49   44505    2844  215399  1159551  26.05
1875-1879     45-49     0.01486  0.07173  2.58   41661    2988  201076   944151  22.66
1875-1879     50-54     0.02033  0.09680  2.52   38673    3743  184089   743076  19.21
1875-1879     55-59     0.02540  0.11976  2.63   34929    4183  164727   558987  16.00
1875-1879     60-64     0.04194  0.19007  2.54   30746    5844  139327   394260  12.82
1875-1879     65-69     0.05980  0.26132  2.59   24902    6507  108812   254933  10.24
1875-1879     70-74     0.09339  0.37544  2.39   18395    6906   73946   146121   7.94
1875-1879     75-79     0.13009  0.49176  2.52   11489    5650   43428    72175   6.28
1875-1879     80-84     0.17805  0.59916  2.27    5839    3499   19649    28747   4.92
1875-1879     85-89     0.23854  0.70747  2.12    2341    1656    6942     9098   3.89
1875-1879     90-94     0.30166  0.79133  2.00     685     542    1796     2156   3.15
1875-1879     95-99     0.38665  0.86819  1.83     143     124     321      360   2.52
1875-1879    100-104    0.47356  0.91798  1.66      19      17      37       39   2.08
1875-1879    105-109    0.56226  0.94970  1.51       2       1       3        3   1.77
1875-1879    110+       0.63325  1.00000  1.58       0       0       0        0   1.58
