Japan, Life tables (period 5x5), Total     Last modified: 26-Sep-2016, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1947-1949        0      0.07319  0.06938  0.25  100000    6938   94793  5545171  55.45
1947-1949      1-4      0.01257  0.04870  1.43   93062    4532  360582  5450378  58.57
1947-1949      5-9      0.00264  0.01312  2.07   88530    1161  439245  5089796  57.49
1947-1949     10-14     0.00160  0.00797  2.57   87369     696  435150  4650551  53.23
1947-1949     15-19     0.00370  0.01835  2.90   86673    1591  430017  4215401  48.64
1947-1949     20-24     0.00698  0.03434  2.58   85082    2922  418351  3785384  44.49
1947-1949     25-29     0.00717  0.03523  2.45   82160    2894  403423  3367033  40.98
1947-1949     30-34     0.00677  0.03330  2.49   79266    2640  389697  2963610  37.39
1947-1949     35-39     0.00702  0.03452  2.52   76626    2645  376577  2573913  33.59
1947-1949     40-44     0.00796  0.03903  2.54   73981    2888  362813  2197336  29.70
1947-1949     45-49     0.00981  0.04790  2.60   71094    3405  347287  1834522  25.80
1947-1949     50-54     0.01357  0.06573  2.61   67688    4449  327811  1487236  21.97
1947-1949     55-59     0.01944  0.09290  2.63   63239    5875  302273  1159425  18.33
1947-1949     60-64     0.02980  0.13909  2.61   57364    7979  267773   857152  14.94
1947-1949     65-69     0.04488  0.20238  2.58   49385    9995  222703   589379  11.93
1947-1949     70-74     0.06777  0.29026  2.53   39391   11434  168705   366676   9.31
1947-1949     75-79     0.10218  0.40646  2.49   27957   11363  111213   197971   7.08
1947-1949     80-84     0.15825  0.55687  2.34   16594    9241   58393    86758   5.23
1947-1949     85-89     0.23458  0.70689  2.19    7353    5198   22159    28365   3.86
1947-1949     90-94     0.33021  0.82369  1.96    2155    1775    5376     6207   2.88
1947-1949     95-99     0.44851  0.90893  1.73     380     345     770      830   2.19
1947-1949    100-104    0.56982  0.95364  1.51      35      33      58       60   1.74
1947-1949    105-109    0.68446  0.97556  1.34       2       2       2        2   1.46
1947-1949    110+       0.76958  1.00000  1.30       0       0       0        0   1.30
1950-1954        0      0.05192  0.04983  0.19  100000    4983   95970  6214166  62.14
1950-1954      1-4      0.00713  0.02805  1.61   95017    2665  373699  6118196  64.39
1950-1954      5-9      0.00170  0.00848  2.02   92352     783  459426  5744497  62.20
1950-1954     10-14     0.00092  0.00458  2.53   91568     419  456808  5285071  57.72
1950-1954     15-19     0.00178  0.00887  2.88   91149     809  454031  4828264  52.97
1950-1954     20-24     0.00324  0.01608  2.63   90340    1453  448254  4374233  48.42
1950-1954     25-29     0.00372  0.01843  2.51   88887    1638  440365  3925979  44.17
1950-1954     30-34     0.00385  0.01905  2.52   87249    1662  432117  3485614  39.95
1950-1954     35-39     0.00434  0.02148  2.57   85587    1839  423461  3053497  35.68
1950-1954     40-44     0.00539  0.02661  2.59   83748    2228  413380  2630036  31.40
1950-1954     45-49     0.00742  0.03644  2.64   81520    2971  400584  2216656  27.19
1950-1954     50-54     0.01081  0.05271  2.63   78549    4140  382949  1816072  23.12
1950-1954     55-59     0.01632  0.07860  2.65   74409    5848  358281  1433123  19.26
1950-1954     60-64     0.02498  0.11794  2.64   68560    8086  323706  1074842  15.68
1950-1954     65-69     0.04030  0.18382  2.61   60474   11116  275810   751137  12.42
1950-1954     70-74     0.06309  0.27323  2.55   49358   13486  213748   475327   9.63
1950-1954     75-79     0.09710  0.38973  2.47   35872   13980  143973   261579   7.29
1950-1954     80-84     0.15089  0.53997  2.37   21891   11821   78341   117606   5.37
1950-1954     85-89     0.22942  0.69753  2.19   10071    7025   30619    39265   3.90
1950-1954     90-94     0.33610  0.83301  1.97    3046    2537    7550     8645   2.84
1950-1954     95-99     0.45514  0.91289  1.72     509     464    1020     1096   2.15
1950-1954    100-104    0.58372  0.95750  1.49      44      42      73       75   1.70
1950-1954    105-109    0.70330  0.97821  1.31       2       2       3        3   1.42
1950-1954    110+       0.79019  1.00000  1.27       0       0       0        0   1.27
1955-1959        0      0.03824  0.03704  0.15  100000    3704   96865  6620349  66.20
1955-1959      1-4      0.00350  0.01387  1.68   96296    1336  382088  6523484  67.74
1955-1959      5-9      0.00115  0.00574  2.05   94961     545  473193  6141396  64.67
1955-1959     10-14     0.00062  0.00312  2.50   94416     294  471344  5668203  60.03
1955-1959     15-19     0.00119  0.00591  2.89   94121     557  469431  5196859  55.21
1955-1959     20-24     0.00211  0.01049  2.61   93565     981  465475  4727429  50.53
1955-1959     25-29     0.00230  0.01145  2.52   92584    1060  460286  4261954  46.03
1955-1959     30-34     0.00252  0.01252  2.56   91523    1146  454818  3801668  41.54
1955-1959     35-39     0.00302  0.01499  2.58   90377    1354  448607  3346850  37.03
1955-1959     40-44     0.00398  0.01970  2.63   89023    1754  440958  2898242  32.56
1955-1959     45-49     0.00598  0.02946  2.66   87269    2571  430333  2457284  28.16
1955-1959     50-54     0.00924  0.04521  2.65   84698    3829  414509  2026951  23.93
1955-1959     55-59     0.01436  0.06947  2.66   80869    5618  391194  1612443  19.94
1955-1959     60-64     0.02243  0.10651  2.64   75251    8015  357365  1221248  16.23
1955-1959     65-69     0.03611  0.16631  2.63   67236   11182  309696   863883  12.85
1955-1959     70-74     0.05947  0.25985  2.57   56054   14565  244917   554187   9.89
1955-1959     75-79     0.09388  0.37992  2.49   41489   15762  167904   309270   7.45
1955-1959     80-84     0.14697  0.52999  2.37   25726   13635   92772   141366   5.49
1955-1959     85-89     0.22089  0.68443  2.22   12092    8276   37467    48594   4.02
1955-1959     90-94     0.32578  0.82262  1.99    3816    3139    9635    11128   2.92
1955-1959     95-99     0.44367  0.90706  1.74     677     614    1384     1493   2.21
