New Zealand -- Maori, Life tables (period 5x5), Total     Last modified: 08-Jul-2013, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1948-1949        0      0.08681  0.08176  0.29  100000    8176   94175  5184107  51.84
1948-1949      1-4      0.01006  0.03920  1.40   91824    3600  357953  5089933  55.43
1948-1949      5-9      0.00296  0.01468  2.09   88224    1296  437346  4731980  53.64
1948-1949     10-14     0.00385  0.01909  2.62   86929    1660  430687  4294634  49.40
1948-1949     15-19     0.00562  0.02777  2.78   85269    2368  421088  3863947  45.31
1948-1949     20-24     0.00717  0.03527  2.70   82901    2924  407769  3442860  41.53
1948-1949     25-29     0.00665  0.03268  2.31   79977    2614  392855  3035090  37.95
1948-1949     30-34     0.00556  0.02740  2.41   77363    2120  381327  2642235  34.15
1948-1949     35-39     0.00852  0.04170  2.43   75243    3138  368154  2260908  30.05
1948-1949     40-44     0.01095  0.05323  2.36   72105    3838  350402  1892754  26.25
1948-1949     45-49     0.01621  0.07811  2.66   68267    5332  328843  1542351  22.59
1948-1949     50-54     0.01849  0.08859  2.66   62935    5575  301610  1213508  19.28
1948-1949     55-59     0.03263  0.15001  2.31   57360    8604  263663   911898  15.90
1948-1949     60-64     0.04019  0.18359  2.65   48755    8951  222731   648235  13.30
1948-1949     65-69     0.06115  0.26258  2.31   39805   10452  170918   425504  10.69
1948-1949     70-74     0.07443  0.31275  2.45   29353    9180  123341   254586   8.67
1948-1949     75-79     0.17147  0.59492  2.43   20173   12001   69991   131246   6.51
1948-1949     80-84     0.11010  0.42692  2.37    8171    3489   31686    61254   7.50
1948-1949     85-89     0.13765  0.50229  2.31    4683    2352   17088    29568   6.31
1948-1949     90-94     0.16932  0.57691  2.24    2331    1345    7941    12480   5.35
1948-1949     95-99     0.20353  0.64500  2.16     986     636    3125     4538   4.60
1948-1949    100-104    0.23784  0.70207  2.08     350     246    1033     1413   4.04
1948-1949    105-109    0.26956  0.74641  2.01     104      78     289      380   3.64
1948-1949    110+       0.28973  1.00000  3.45      26      26      91       91   3.45
1950-1954        0      0.07653  0.07242  0.26  100000    7242   94637  5586968  55.87
1950-1954      1-4      0.00620  0.02438  1.26   92758    2261  364828  5492331  59.21
1950-1954      5-9      0.00211  0.01047  2.32   90496     948  449947  5127503  56.66
1950-1954     10-14     0.00187  0.00932  2.31   89549     834  445500  4677556  52.23
1950-1954     15-19     0.00274  0.01361  2.70   88715    1207  440794  4232056  47.70
1950-1954     20-24     0.00478  0.02363  2.61   87508    2068  432605  3791261  43.32
1950-1954     25-29     0.00458  0.02266  2.60   85440    1936  422555  3358657  39.31
1950-1954     30-34     0.00460  0.02274  2.50   83503    1899  412768  2936101  35.16
1950-1954     35-39     0.00788  0.03870  2.62   81604    3158  400511  2523333  30.92
1950-1954     40-44     0.00896  0.04384  2.56   78446    3439  383834  2122822  27.06
1950-1954     45-49     0.01468  0.07106  2.76   75007    5330  363121  1738988  23.18
